taxon_id,scientific_name,family,kingdom,temp_min_c,temp_max_c,rainfall_min_mm_year,rainfall_max_mm_year,ph_min,ph_max,uses,growth_form_uri,plant_form_uri,soil_depth,soil_texture_uri,source
289,Abelmoschus esculentus,Malvaceae,Archaeplastida,20,30,600,1200,5.5,7,lipids/oil & fats,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900037,50,http://purl.obolibrary.org/obo/FLOPO_0980071,FAO ECOCROP-derived DwC-A measurement data
290,Abelmoschus manihot,Malvaceae,Archaeplastida,22,30,1200,2000,5.5,7,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900034,150,,FAO ECOCROP-derived DwC-A measurement data
291,Abelmoschus moschatus,Malvaceae,Archaeplastida,20,30,1000,1400,5.5,7,ornamental/turf,http://eol.org/schema/terms/multipleStems,http://eol.org/schema/terms/subshrub,150,,FAO ECOCROP-derived DwC-A measurement data
295,Acacia auriculiformis,Leguminosae,Archaeplastida,24,32,1200,2500,6,8,fuelwood | non-vertebrate livestock | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
297,Acacia farnesiana,Leguminosae,Archaeplastida,20,32,400,1400,6.5,7,fuelwood | mammals | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
298,Acacia holosericea,Leguminosae,Archaeplastida,24,32,600,1200,5.5,7.5,fuelwood | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,https://www.wikidata.org/entity/Q757163,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
299,Acacia mellifera,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
318,Adenanthera pavonina,Leguminosae,Archaeplastida,22,28,3000,5000,5,7,fuelwood | mammals | manure/fertilizer | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
326,Aeschynomene americana,Leguminosae,Archaeplastida,22,30,1000,1500,5.5,7,,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900034,50,,FAO ECOCROP-derived DwC-A measurement data
329,Agathis australis,Araucariaceae,Archaeplastida,14,24,1200,1600,4.8,5.5,,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
331,Agathis macrophylla,Araucariaceae,Archaeplastida,22,32,4000,5000,4.5,6,pioneer,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
333,Agathis robusta,Araucariaceae,Archaeplastida,18,30,1500,3000,5.5,7,,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
